city,notes,endpoint
Hunchun,"72. a. Pagode on a bridge. b. Chinese Idols. c. Chinese Priests. d. Hunchun, or Spring Festival (David Rumsey Map Collection)",https://www.davidrumsey.com/luna/servlet/iiif/m/RUMSEY~8~1~297148~90068689/manifest
Hunchun,"Theatrum orbis terrarum, opus nunc denuo ab ipso auctore recognitum, multisque locis castigatum et quam plurimis novis tabulis atque commentariis auctum. [Parergon in quo veteris geographiae aliquot tabulae. Nomenclator Ptolemaicus omnia locorum vocabula quae in tota Ptolemaei "" Geographia "" occurunt, continens... De Mona druidum insula antiquitati suae restituta... epistola... Humfredi Lhuyd] (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/btv1b55005958g/manifest.json
Hunchun,"Massif du Canigou / carte dressée par MM. Ch. Blachère, G. Combrade et J.-B. Raynier (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/btv1b531926973/manifest.json
Hunchun,"The Complete Brazil and Cape of Good Hope pilot : being a collection of new and accurate charts, both general and particular, exhibiting the whole navigation from London to the Cape of Good Hope, Isle of France, and the coast of Brazil, drawn principally from the English, Spanish, and Portuguese surveys, corrected by the observations and remarks of several Masters in the Royal Navy and merchant service / arranged and improved by J. W. Norie, hydrographer, [et]c. (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/btv1b106785686/manifest.json
Hunchun,"Plan de Paris. Nomenclature des rues avec stations de métro, autobus, monuments, sorties de Paris (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/btv1b53058451j/manifest.json
Hunchun,"Bacon's map of France in six sheets / by J. W. Lowry, F.R.G.S. (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/btv1b10678833v/manifest.json
Hunchun,"[Lot de deux cartes satiriques de l'Europe, l'une pour l'année 1870, l'autre pour 1914] (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/btv1b53230703p/manifest.json
Hunchun,Chart shewing the position of all the lighthouses &c. in the British Isles : and describing their respective appearances / By J. & A. Walker (Bibliothèque nationale de France (BnF) / Gallica),https://gallica.bnf.fr/iiif/ark:/12148/btv1b10679838f/manifest.json
Hunchun,"Carte des environs de Paris contenant le département de la Seine et celui de Seine-et-Oise (revue, corrigée et augmentée en 1822) (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/btv1b10678949b/manifest.json
Hunchun,"Karte von Schlesien, in Nieder, Ober und Neu Schlesien und in Fürstenthümer desgleichen in das Breslausche und Glogausche Kammer Departement und in deren Landräthlichen Kreise eingetheilet... (Bibliothèque nationale de France (BnF) / Gallica)",https://gallica.bnf.fr/iiif/ark:/12148/btv1b53100184z/manifest.json
